news_document,science_document,news_tokens_idx,sci_token_idx,is_coreferent,task_type
news_40,science_314,21,60;61;62;63;64;65;66,yes,Anaphora
news_545,science_500,31,173,yes,Anaphora
news_54,science_108,30;31;32,113;114;115,no,Anaphora
news_97,science_98,105;106,115;116,no,Anaphora
news_162,science_319,92,145;146,yes,Anaphora
news_162,science_319,85;86,146;147,yes,Anaphora
news_40,science_314,21,136;137;138,no,Anaphora
news_40,science_314,6;7;8,114;115,no,Anaphora
news_20,science_226,8;9;10;11;12;13;14;15,97;98;99;100;101;102;103,no,Anaphora
news_555,science_510,22;23,112;113,yes,Anaphora
news_252,science_35,33;34;35,47;48,no,Anaphora
news_369,science_257,14;15,215;216,yes,Anaphora
news_369,science_257,23,51,no,Anaphora
news_40,science_314,6;7;8,83;84,yes,Anaphora
news_97,science_98,72;73,75;76;77,no,Anaphora
news_30,science_109,20;21,207;208,yes,Anaphora
news_162,science_319,85;86,88;89;90;91,yes,Anaphora
news_54,science_108,4,107,yes,Anaphora
news_162,science_319,92,131,no,Anaphora
news_366,science_245,40;41,48;49,no,Anaphora
news_54,science_108,30;31;32,4;5;6;7;8,yes,Anaphora
news_162,science_319,85;86,172;173;174;175,yes,Anaphora
news_411,science_366,60;61;62;63;64,36;37,no,Anaphora
news_162,science_319,92,10,no,Anaphora
news_162,science_319,76,71;72;73,yes,Anaphora
news_162,science_319,17;18;19,145;146,yes,Anaphora
news_143,science_54,33;34;35;36,7;8;9;10;11,no,Anaphora
news_411,science_366,73,18,yes,Anaphora
news_30,science_109,69,133,yes,Anaphora
news_336,science_143,44;45,158;159;160;161,yes,Anaphora
news_40,science_314,31;32;33;34,80;81,no,Anaphora
news_54,science_108,51,142;143;144;145,no,Anaphora
news_446,science_401,15;16;17,119;120,no,Anaphora
news_162,science_319,92,54;55,no,Anaphora
news_336,science_143,19;20;21;22,64;65;66;67;68,no,Anaphora
news_162,science_319,92,139;140;141;142,no,Anaphora
news_162,science_319,17;18;19,210;211;212,no,Anaphora
news_30,science_109,33,91,yes,Anaphora
news_545,science_500,31,151,yes,Anaphora
news_545,science_500,46;47;48,14;15;16;17;18;19;20,no,Anaphora
news_446,science_401,15;16;17,72;73,yes,Anaphora
news_210,science_199,62;63,66;67,no,Anaphora
news_197,science_244,31;32,44;45,no,Anaphora
news_150,science_107,2,118,no,Anaphora
news_617,science_572,72;73,5;6;7;8;9;10;11,yes,Anaphora
news_616,science_571,26;27,55;56;57;58;59,no,Anaphora
news_40,science_314,43;44,114;115,yes,Anaphora
news_162,science_319,17;18;19,19;20,yes,Anaphora
news_54,science_108,51,107,yes,Anaphora
news_411,science_366,16;17;18,18,no,Anaphora
news_545,science_500,65;66;67;68;69,151,yes,Anaphora
news_162,science_319,92,88;89;90;91,no,Anaphora
news_314,science_243,57;58,208;209,no,Anaphora
news_607,science_562,45;46;47,266,yes,Anaphora
news_194,science_29,45;46;47,19;20;21;22;23;24;25;26;27;28;29,no,Anaphora
news_617,science_572,23;24,27;28;29,yes,Anaphora
news_545,science_500,65;66;67;68;69,162;163,yes,Anaphora
news_162,science_319,25,27;28,yes,Anaphora
news_162,science_319,92,0;1,yes,Anaphora
news_162,science_319,85;86,0;1,yes,Anaphora
news_586,science_541,35;36;37,81;82,yes,Anaphora
news_616,science_571,2;3,258;259;260;261;262;263;264,no,Anaphora
news_563,science_518,44,97;98,no,Anaphora
news_555,science_510,22;23,139;140,no,Anaphora
news_446,science_401,40;41;42;43,115,no,Anaphora
news_607,science_562,101;102;103;104,266,no,Anaphora
news_162,science_319,92,205,yes,Anaphora
news_617,science_572,39;40,5;6;7;8;9;10;11,yes,Anaphora
news_322,science_4,17;18;19;20,141;142;143;144,yes,Paraphrasing
news_616,science_571,12;13;14;15,146;147;148;149,yes,Paraphrasing
news_607,science_562,38;39,150;151;152;153,yes,Paraphrasing
news_617,science_572,13;14,13;14;15,yes,Paraphrasing
news_616,science_571,64;65,293;294,yes,Paraphrasing
news_162,science_319,89;90,12;13;14,no,Paraphrasing
news_616,science_571,2;3,131;132;133;134,yes,Paraphrasing
news_150,science_107,17,57;58,no,Paraphrasing
news_617,science_572,42;43;44;45;46;47,5;6;7;8;9;10;11,yes,Paraphrasing
news_195,science_80,35;36;37;38;39;40,14;15;16;17;18,no,Paraphrasing
news_210,science_5,4;5;6,0;1;2;3,no,Paraphrasing
news_555,science_510,64;65;66;67;68;69,97;98,yes,Paraphrasing
news_586,science_541,2;3;4;5;6;7,0;1;2;3,no,Paraphrasing
news_411,science_366,48,185;186;187,yes,Paraphrasing
news_563,science_518,8;9;10;11;12,89,yes,Paraphrasing
news_563,science_518,8;9;10;11;12,87;88;89,yes,Paraphrasing
news_563,science_518,33;34,93;94,no,Paraphrasing
news_143,science_54,48;49;50;51;52,240;241;242;243;244,no,Paraphrasing
news_563,science_518,41;42,187;188;189;190;191,no,Paraphrasing
news_607,science_562,94;95;96,50;51;52;53;54,no,Paraphrasing
news_455,science_410,5;6;7;8;9;10;11;12,11,yes,Paraphrasing
news_607,science_562,94;95;96,239;240,no,Paraphrasing
news_162,science_319,85;86,23;24;25,yes,Paraphrasing
news_20,science_226,31;32,97;98;99;100;101;102;103,yes,Paraphrasing
news_303,science_79,11;12,223;224;225;226,no,Paraphrasing
news_197,science_244,31;32,15;16;17;18;19,yes,Paraphrasing
news_303,science_79,54;55,152;153;154;155;156;157,yes,Paraphrasing
news_555,science_510,64;65;66;67;68;69,54;55;56,no,Paraphrasing
news_545,science_500,65;66;67;68;69,41;42;43;44;45;46,yes,Paraphrasing
news_210,science_103,4;5;6,18;19;20;21;22;23;24;25,yes,Paraphrasing
news_40,science_314,43;44,3;4,no,Paraphrasing
news_607,science_562,89;90,246;247;248,yes,Paraphrasing
news_607,science_562,94;95;96,45;46;47;48,no,Paraphrasing
news_143,science_54,33;34;35;36,181;182;183,no,Paraphrasing
news_40,science_314,26;27;28;29,150;151,yes,Paraphrasing
news_194,science_32,4;5;6;7;8;9,23;24;25,no,Paraphrasing
news_616,science_571,47;48;49,29;30;31;32;33,yes,Paraphrasing
news_314,science_251,6;7;8;9;10,299;300;301,yes,Paraphrasing
news_150,science_107,17,99;100;101;102,no,Paraphrasing
news_157,science_89,27;28,66;67;68,no,Paraphrasing
news_40,science_314,38;39;40;41,97;98;99;100;101,yes,Paraphrasing
news_229,science_116,31;32;33;34,19;20,yes,Paraphrasing
news_455,science_410,44;45;46,13;14,yes,Paraphrasing
news_195,science_9,35;36;37;38;39;40,55;56;57,no,Paraphrasing
news_40,science_314,51;52,150;151,yes,Paraphrasing
news_411,science_366,32;33;34,54;55,yes,Paraphrasing
news_314,science_251,6;7;8;9;10,227;228,no,Paraphrasing
news_30,science_109,20;21,234,no,Paraphrasing
news_555,science_510,70;71;72;73,94;95;96;97;98;99;100;101;102;103;104;105;106;107,yes,Paraphrasing
news_336,science_143,3;4;5;6;7;8,73;74,no,Paraphrasing
news_210,science_5,62;63,35;36,no,Paraphrasing
news_366,science_245,15;16;17;18;19;20;21,40;41;42,no,Paraphrasing
news_119,science_59,53;54,107;108,no,Paraphrasing
news_607,science_562,94;95;96,150;151;152;153,yes,Paraphrasing
news_40,science_314,26;27;28;29,187;188;189,yes,Paraphrasing
news_543,science_498,47,177;178;179;180;181;182;183;184,no,Paraphrasing
news_545,science_500,61;62;63,59;60;61;62,no,Paraphrasing
news_586,science_541,32;33,10;11;12,no,Paraphrasing
news_545,science_500,65;66;67;68;69,14;15;16;17;18;19;20,yes,Paraphrasing
news_543,science_498,94,9;10;11,no,Paraphrasing
news_545,science_500,65;66;67;68;69,0;1;2;3;4,no,Paraphrasing
news_586,science_541,35;36;37,28;29,yes,Paraphrasing
news_366,science_245,23;24;25,111;112;113;114;115;116;117;118;119;120;121;122,yes,Paraphrasing
news_543,science_498,0;1;2;3;4;5;6;7;8,4;5;6,no,Paraphrasing
news_545,science_500,13;14;15;16,41;42;43;44;45;46,yes,Paraphrasing
news_370,science_262,44;45;46;47;48,16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48,no,Paraphrasing
news_545,science_500,66;67;68;69,15;16;17;18;19;20,yes,Paraphrasing
news_607,science_562,13;14;15;16,93;94;95,no,Paraphrasing
news_336,science_143,3;4;5;6;7;8,64;65;66;67;68,yes,Paraphrasing
news_30,science_109,80;81,7;8,no,Paraphrasing
news_40,science_314,54;55;56,42;43;44,no,Paraphrasing
news_20,science_226,19;20,160;161;162,yes,Paraphrasing
news_40,science_314,6;7;8,50;51;52,yes,Paraphrasing
news_543,science_498,22;23;24;25;26;27,115;116;117;118,no,Paraphrasing
news_54,science_108,40,40;41,yes,Paraphrasing
news_366,science_245,34;35;36;37;38,89,no,Subset
news_336,science_143,3;4;5;6;7;8,95;96,yes,Subset
news_372,science_232,78;79,236;237,yes,Subset
news_366,science_245,36;37;38,89,no,Subset
news_143,science_54,48;49;50;51;52,7;8;9;10;11,no,Subset
news_97,science_98,6;7,10;11,yes,Subset
news_370,science_262,44;45;46;47;48,16;17;18;19,no,Subset
news_366,science_245,5;6,75;76;77,yes,Subset
news_195,science_80,35;36;37;38;39;40,6;7;8,no,Subset
news_210,science_103,31;32;33,40;41;42,yes,Subset
