id,news_ent,sci_ent,Test Example,is_iaa,is_bad,similarity,created_at,updated_at,is_iaa_priority,news_article_id,sci_paper_id,is_bad_reason,is_bad_reported_at,is_bad_user_id,priority,is_difficult,is_difficult_reported_at,is_difficult_user_id
212039,Covid-19 ;237;246,the prevalence;552;566,,,,0.937853157520294,2020-05-30 07:23:39.231294,2020-05-30 07:23:39.231305,,555,510,,,,5,,,
212009,Covid-19;237;245,the prevalence of COVID-19;552;578,,,,0.937272608280182,2020-05-30 07:23:38.572796,2020-05-30 07:23:38.572812,,555,510,,,,5,,,
212220,Covid-19;410;418,the prevalence of COVID-19;552;578,,,,0.923098564147949,2020-05-30 07:23:43.356869,2020-05-30 07:23:43.356882,,555,510,,,,5,,,
108864,reduced greenhouse gas emission;333;364,a stable electron-donating heterogeneous catalyst;308;357,,,,0.913152039051056,2020-05-09 09:05:41.310939,2020-05-09 09:05:41.31094,,40,314,,,,5,,,
130688,the leading cause;75;92,the leading cause;23;40,,,,0.911576330661774,2020-05-09 11:17:20.067133,2020-05-09 11:17:20.067135,,411,366,,,,5,,,
220720,CO2;213;216,CO2;343;346,,,,0.899521052837372,2020-05-30 07:34:54.496161,2020-05-30 07:34:54.496172,,563,518,,,,5,,,
108742,ammonia production;282;300,ammonia production;183;201,,,,0.898763000965118,2020-05-09 09:05:41.310518,2020-05-09 09:05:41.310519,,40,314,,,,5,,,
5,Triceratops;44;55, Torosaurus;221;232,,1,,0.891435205936432,,,,314,251,,,,5,,,
221209,CO2 emissions;213;226,CO2 emissions;343;356,,,,0.886435210704803,2020-05-30 07:35:05.47306,2020-05-30 07:35:05.473065,,563,518,,,,5,,,
108192,ammonia;173;180,ammonia;455;462,,,,0.883901238441467,2020-05-09 09:05:41.308852,2020-05-09 09:05:41.308853,,40,314,,,,5,,,
108207, 50 °C;190;196,50;107;109,,,,0.883649110794067,2020-05-09 09:05:41.30889,2020-05-09 09:05:41.30889,,40,314,,,,5,,,
260880,hydroxychloroquine;296;314,Hydroxychloroquine;0;18,,1,,0.880302309989929,2020-06-05 07:49:33.103685,2020-06-05 07:49:33.103695,,617,572,,,,5,,,
202469,degenerating joint (articular) cartilage;647;687,differentiation into articular or hypertrophic cartilage phenotypes;637;704,,,,0.878788888454437,2020-05-23 14:11:38.01576,2020-05-23 14:11:38.015764,,543,498,,,,5,,,
111757,an effort;124;133,an effort;81;90,,,,0.877824068069458,2020-05-09 09:09:24.806072,2020-05-09 09:09:24.806073,,54,108,,,,5,,,
130776,children;120;128,children;68;76,,,,0.877412557601929,2020-05-09 11:17:20.094317,2020-05-09 11:17:20.094319,,411,366,,,,5,,,
204236,a two-dimensional framework;364;391,This ;280;285,,,,0.875137746334076,2020-05-23 14:12:21.59148,2020-05-23 14:12:21.591494,,545,500,,,,5,,,
